7zip 26.00-1.1
a52dec 0.8.0-3.1
aardvark-dns 1.17.0-1.1
abseil-cpp 20250814.1-1.1
accounts-qml-module 0.7-6.1
accountsservice 26.12.8-1.1
acl 2.3.2-1.1
adobe-source-han-sans-cn-fonts 2.005-1
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-sans-kr-fonts 2.005-1
adwaita-cursors 49.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3.1
alsa-card-profiles 1:1.6.2-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2.1
alsa-plugins 1:1.2.12-5.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2.1
amd-ucode 1:20260309-1
aom 3.13.2-1.1
appstream 1.1.2-1.1
appstream-qt 1.1.2-1.1
archlinux-appstream-data 20260107-1
archlinux-keyring 20260301-2
ark 25.12.3-1.1
asusctl 6.3.4-1
at-spi2-core 2.58.4-1.1
attica 6.24.0-1.1
attr 2.5.2-1.1
audit 4.1.3-1.1
aurorae 6.6.3-1.1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc3-1.1
ayatana-ido 0.10.4-1.1
baloo 6.24.0-2.1
baloo-widgets 25.12.3-1.1
base 3-3
base-devel 1-2
bash 5.3.9-2
bash-completion 2.17.0-3
bazaar 0.7.12-2.1
binutils 2.46-2
bison 3.8.2-8.1
blas 3.12.1-2.1
bluedevil 1:6.6.3-1.1
bluez 5.86-4.1
bluez-libs 5.86-4.1
bluez-qt 6.24.0-2.1
bluez-utils 5.86-4.1
bolt 0.9.10-1.1
boost-libs 1.89.0-4.1
breeze 6.6.3-1.1
breeze-cursors 6.6.3-1.1
breeze-gtk 6.6.3-1
breeze-icons 6.24.0-1.1
brotli 1.2.0-1.1
btop 1.4.6-1.1
btrfs-progs 6.19.1-1
bubblewrap 0.11.1-1.1
bzip2 1.0.8-6.1
c-ares 1.34.6-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.122-1.1
ca-certificates-utils 20240618-1
cabextract 1.11-2.1
cachyos-gaming-applications 1.0.0-2
cachyos-gaming-meta 1:1.0.0-6
cachyos-hooks 2026.02.05-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 22-1
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cairo 1.18.4-1.1
capstone 5.0.7-2.1
